2024-10-24 19:20:01,459 - u1h1 - INFO - Log location : /home/casomoon/DSL_Exercises/logs/u1h1.log
2024-10-24 19:21:31,974 - u1h1 - INFO - Epoch [175/200] - Loss: 0.0982, Accuracy: 98.33%
2024-10-24 19:21:32,448 - u1h1 - INFO - Epoch [176/200] - Loss: 0.0976, Accuracy: 98.30%
2024-10-24 19:21:32,946 - u1h1 - INFO - Epoch [177/200] - Loss: 0.0969, Accuracy: 98.35%
2024-10-24 19:21:33,460 - u1h1 - INFO - Epoch [178/200] - Loss: 0.0963, Accuracy: 98.33%
2024-10-24 19:21:33,946 - u1h1 - INFO - Epoch [179/200] - Loss: 0.0957, Accuracy: 98.41%
2024-10-24 19:21:34,423 - u1h1 - INFO - Epoch [180/200] - Loss: 0.0950, Accuracy: 98.50%
2024-10-24 19:21:34,893 - u1h1 - INFO - Epoch [181/200] - Loss: 0.0944, Accuracy: 98.49%
2024-10-24 19:21:35,411 - u1h1 - INFO - Epoch [182/200] - Loss: 0.0938, Accuracy: 98.44%
2024-10-24 19:21:35,907 - u1h1 - INFO - Epoch [183/200] - Loss: 0.0932, Accuracy: 98.54%
2024-10-24 19:21:36,372 - u1h1 - INFO - Epoch [184/200] - Loss: 0.0926, Accuracy: 98.54%
2024-10-24 19:21:36,829 - u1h1 - INFO - Epoch [185/200] - Loss: 0.0920, Accuracy: 98.66%
2024-10-24 19:21:37,297 - u1h1 - INFO - Epoch [186/200] - Loss: 0.0914, Accuracy: 98.61%
2024-10-24 19:21:37,777 - u1h1 - INFO - Epoch [187/200] - Loss: 0.0908, Accuracy: 98.66%
2024-10-24 19:21:38,279 - u1h1 - INFO - Epoch [188/200] - Loss: 0.0903, Accuracy: 98.60%
2024-10-24 19:21:38,760 - u1h1 - INFO - Epoch [189/200] - Loss: 0.0897, Accuracy: 98.65%
2024-10-24 19:21:39,232 - u1h1 - INFO - Epoch [190/200] - Loss: 0.0891, Accuracy: 98.63%
2024-10-24 19:21:39,712 - u1h1 - INFO - Epoch [191/200] - Loss: 0.0886, Accuracy: 98.71%
2024-10-24 19:21:40,193 - u1h1 - INFO - Epoch [192/200] - Loss: 0.0881, Accuracy: 98.71%
2024-10-24 19:21:40,704 - u1h1 - INFO - Epoch [193/200] - Loss: 0.0875, Accuracy: 98.72%
2024-10-24 19:21:41,209 - u1h1 - INFO - Epoch [194/200] - Loss: 0.0870, Accuracy: 98.78%
2024-10-24 19:21:41,684 - u1h1 - INFO - Epoch [195/200] - Loss: 0.0864, Accuracy: 98.78%
2024-10-24 19:21:42,154 - u1h1 - INFO - Epoch [196/200] - Loss: 0.0859, Accuracy: 98.81%
2024-10-24 19:21:42,642 - u1h1 - INFO - Epoch [197/200] - Loss: 0.0854, Accuracy: 98.75%
2024-10-24 19:21:43,136 - u1h1 - INFO - Epoch [198/200] - Loss: 0.0850, Accuracy: 98.84%
2024-10-24 19:21:43,607 - u1h1 - INFO - Epoch [199/200] - Loss: 0.0844, Accuracy: 98.89%
2024-10-24 19:21:44,091 - u1h1 - INFO - Epoch [200/200] - Loss: 0.0840, Accuracy: 98.87%
